2023-11-17 15:27:23 INFO     Saving logs in: /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 15:54:57 INFO     	 Epoch 28 | average valid loss: 0.0612
2023-11-17 15:55:53 INFO     	 Epoch 29 | average train loss: 0.0120
2023-11-17 15:55:53 INFO     	 Epoch 29 | average valid loss: 0.0613
2023-11-17 15:55:56 INFO     	 valid MR: 1800.51 | MRR: 0.345 | H@1: 0.249 | H@10: 0.539 | H@50: 0.673 | H@100: 0.721
2023-11-17 15:55:56 INFO     	 Saving model at epoch 29 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 15:56:52 INFO     	 Epoch 30 | average train loss: 0.0117
2023-11-17 15:56:52 INFO     	 Epoch 30 | average valid loss: 0.0613
2023-11-17 15:57:47 INFO     	 Epoch 31 | average train loss: 0.0113
2023-11-17 15:57:48 INFO     	 Epoch 31 | average valid loss: 0.0614
2023-11-17 15:58:43 INFO     	 Epoch 32 | average train loss: 0.0110
2023-11-17 15:58:44 INFO     	 Epoch 32 | average valid loss: 0.0613
2023-11-17 15:59:39 INFO     	 Epoch 33 | average train loss: 0.0108
2023-11-17 15:59:40 INFO     	 Epoch 33 | average valid loss: 0.0615
2023-11-17 16:00:35 INFO     	 Epoch 34 | average train loss: 0.0105
2023-11-17 16:00:36 INFO     	 Epoch 34 | average valid loss: 0.0616
2023-11-17 16:00:38 INFO     	 valid MR: 1792.82 | MRR: 0.348 | H@1: 0.248 | H@10: 0.546 | H@50: 0.680 | H@100: 0.728
2023-11-17 16:00:38 INFO     	 Saving model at epoch 34 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:01:34 INFO     	 Epoch 35 | average train loss: 0.0102
2023-11-17 16:01:35 INFO     	 Epoch 35 | average valid loss: 0.0616
2023-11-17 16:02:29 INFO     	 Epoch 36 | average train loss: 0.0099
2023-11-17 16:02:30 INFO     	 Epoch 36 | average valid loss: 0.0619
2023-11-17 16:03:23 INFO     	 Epoch 37 | average train loss: 0.0097
2023-11-17 16:03:24 INFO     	 Epoch 37 | average valid loss: 0.0618
2023-11-17 16:04:17 INFO     	 Epoch 38 | average train loss: 0.0095
2023-11-17 16:04:18 INFO     	 Epoch 38 | average valid loss: 0.0621
2023-11-17 16:05:11 INFO     	 Epoch 39 | average train loss: 0.0092
2023-11-17 16:05:12 INFO     	 Epoch 39 | average valid loss: 0.0621
2023-11-17 16:05:15 INFO     	 valid MR: 1787.11 | MRR: 0.350 | H@1: 0.249 | H@10: 0.549 | H@50: 0.689 | H@100: 0.733
2023-11-17 16:05:15 INFO     	 Saving model at epoch 39 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:06:08 INFO     	 Epoch 40 | average train loss: 0.0090
2023-11-17 16:06:09 INFO     	 Epoch 40 | average valid loss: 0.0624
2023-11-17 16:07:02 INFO     	 Epoch 41 | average train loss: 0.0088
2023-11-17 16:07:03 INFO     	 Epoch 41 | average valid loss: 0.0625
2023-11-17 16:07:56 INFO     	 Epoch 42 | average train loss: 0.0086
2023-11-17 16:07:57 INFO     	 Epoch 42 | average valid loss: 0.0628
2023-11-17 16:08:50 INFO     	 Epoch 43 | average train loss: 0.0084
2023-11-17 16:08:50 INFO     	 Epoch 43 | average valid loss: 0.0630
2023-11-17 16:09:43 INFO     	 Epoch 44 | average train loss: 0.0082
2023-11-17 16:09:44 INFO     	 Epoch 44 | average valid loss: 0.0631
2023-11-17 16:09:47 INFO     	 valid MR: 1791.74 | MRR: 0.350 | H@1: 0.246 | H@10: 0.553 | H@50: 0.693 | H@100: 0.734
2023-11-17 16:10:40 INFO     	 Epoch 45 | average train loss: 0.0080
2023-11-17 16:10:40 INFO     	 Epoch 45 | average valid loss: 0.0633
2023-11-17 16:11:33 INFO     	 Epoch 46 | average train loss: 0.0078
2023-11-17 16:11:34 INFO     	 Epoch 46 | average valid loss: 0.0634
2023-11-17 16:12:27 INFO     	 Epoch 47 | average train loss: 0.0076
2023-11-17 16:12:28 INFO     	 Epoch 47 | average valid loss: 0.0638
2023-11-17 16:13:21 INFO     	 Epoch 48 | average train loss: 0.0075
2023-11-17 16:13:22 INFO     	 Epoch 48 | average valid loss: 0.0640
2023-11-17 16:14:15 INFO     	 Epoch 49 | average train loss: 0.0073
2023-11-17 16:14:16 INFO     	 Epoch 49 | average valid loss: 0.0643
2023-11-17 16:14:18 INFO     	 valid MR: 1803.61 | MRR: 0.352 | H@1: 0.249 | H@10: 0.555 | H@50: 0.694 | H@100: 0.736
2023-11-17 16:14:18 INFO     	 Saving model at epoch 49 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:15:12 INFO     	 Epoch 50 | average train loss: 0.0071
2023-11-17 16:15:13 INFO     	 Epoch 50 | average valid loss: 0.0646
2023-11-17 16:16:06 INFO     	 Epoch 51 | average train loss: 0.0070
2023-11-17 16:16:07 INFO     	 Epoch 51 | average valid loss: 0.0645
2023-11-17 16:17:00 INFO     	 Epoch 52 | average train loss: 0.0068
2023-11-17 16:17:00 INFO     	 Epoch 52 | average valid loss: 0.0650
2023-11-17 16:17:53 INFO     	 Epoch 53 | average train loss: 0.0067
2023-11-17 16:17:54 INFO     	 Epoch 53 | average valid loss: 0.0650
2023-11-17 16:18:47 INFO     	 Epoch 54 | average train loss: 0.0065
2023-11-17 16:18:48 INFO     	 Epoch 54 | average valid loss: 0.0652
2023-11-17 16:18:50 INFO     	 valid MR: 1815.11 | MRR: 0.359 | H@1: 0.256 | H@10: 0.561 | H@50: 0.698 | H@100: 0.739
2023-11-17 16:18:50 INFO     	 Saving model at epoch 54 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:19:44 INFO     	 Epoch 55 | average train loss: 0.0064
2023-11-17 16:19:44 INFO     	 Epoch 55 | average valid loss: 0.0655
2023-11-17 16:20:37 INFO     	 Epoch 56 | average train loss: 0.0062
2023-11-17 16:20:38 INFO     	 Epoch 56 | average valid loss: 0.0659
2023-11-17 16:21:31 INFO     	 Epoch 57 | average train loss: 0.0061
2023-11-17 16:21:32 INFO     	 Epoch 57 | average valid loss: 0.0662
2023-11-17 16:22:25 INFO     	 Epoch 58 | average train loss: 0.0060
2023-11-17 16:22:26 INFO     	 Epoch 58 | average valid loss: 0.0664
2023-11-17 16:23:19 INFO     	 Epoch 59 | average train loss: 0.0059
2023-11-17 16:23:20 INFO     	 Epoch 59 | average valid loss: 0.0668
2023-11-17 16:23:22 INFO     	 valid MR: 1830.97 | MRR: 0.360 | H@1: 0.258 | H@10: 0.561 | H@50: 0.701 | H@100: 0.741
2023-11-17 16:23:22 INFO     	 Saving model at epoch 59 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:24:16 INFO     	 Epoch 60 | average train loss: 0.0057
2023-11-17 16:24:16 INFO     	 Epoch 60 | average valid loss: 0.0668
2023-11-17 16:25:09 INFO     	 Epoch 61 | average train loss: 0.0056
2023-11-17 16:25:10 INFO     	 Epoch 61 | average valid loss: 0.0671
2023-11-17 16:26:03 INFO     	 Epoch 62 | average train loss: 0.0055
2023-11-17 16:26:04 INFO     	 Epoch 62 | average valid loss: 0.0673
2023-11-17 16:26:57 INFO     	 Epoch 63 | average train loss: 0.0054
2023-11-17 16:26:57 INFO     	 Epoch 63 | average valid loss: 0.0678
2023-11-17 16:27:51 INFO     	 Epoch 64 | average train loss: 0.0053
2023-11-17 16:27:52 INFO     	 Epoch 64 | average valid loss: 0.0678
2023-11-17 16:27:54 INFO     	 valid MR: 1843.92 | MRR: 0.364 | H@1: 0.262 | H@10: 0.564 | H@50: 0.702 | H@100: 0.743
2023-11-17 16:27:54 INFO     	 Saving model at epoch 64 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:28:47 INFO     	 Epoch 65 | average train loss: 0.0052
2023-11-17 16:28:48 INFO     	 Epoch 65 | average valid loss: 0.0679
