term	level	class
GO:0000325	6	cellular_component
GO:0000326	7	cellular_component
GO:0000327	7	cellular_component
GO:0000328	6	cellular_component
GO:0000329	7	cellular_component
GO:0000330	6	cellular_component
GO:0000331	6	cellular_component
GO:0000332	3	molecular_function
GO:0000333	4	cellular_component
GO:0000334	5	molecular_function
GO:0000338	6	biological_process
GO:0000339	5	molecular_function
GO:0000340	6	molecular_function
GO:0000341	6	molecular_function
GO:0000342	6	molecular_function
GO:0000343	6	cellular_component
GO:0000344	6	cellular_component
GO:0000345	5	cellular_component
GO:0000346	3	cellular_component
GO:0000347	3	cellular_component
GO:0000348	7	biological_process
GO:0000349	7	biological_process
GO:0000350	7	biological_process
GO:0000352	7	biological_process
GO:0000353	7	biological_process
GO:0000354	7	biological_process
GO:0000365	9	biological_process
GO:0000366	10	biological_process
GO:0000372	10	biological_process
GO:0000373	10	biological_process
GO:0000374	10	biological_process
GO:0000375	8	biological_process
GO:0000376	9	biological_process
GO:0000377	9	biological_process
GO:0000378	6	biological_process
GO:0000379	8	biological_process
GO:0000380	9	biological_process
GO:0000381	8	biological_process
GO:0000384	4	molecular_function
GO:0000386	4	molecular_function
GO:0000387	7	biological_process
GO:0000388	7	biological_process
GO:0000389	8	biological_process
GO:0000390	7	biological_process
GO:0000393	7	biological_process
GO:0000394	8	biological_process
GO:0000395	8	biological_process
GO:0000398	8	biological_process
GO:0000399	2	cellular_component
GO:0000400	6	molecular_function
GO:0000401	7	molecular_function
GO:0000402	7	molecular_function
GO:0000403	6	molecular_function
GO:0000404	6	molecular_function
GO:0000405	6	molecular_function
GO:0000406	6	molecular_function
GO:0000407	2	cellular_component
GO:0000408	2	cellular_component
GO:0000409	7	biological_process
GO:0000410	7	biological_process
GO:0000411	7	biological_process
GO:0000412	6	biological_process
GO:0000413	7	biological_process
GO:0000417	2	cellular_component
GO:0000418	4	cellular_component
GO:0000419	4	cellular_component
GO:0000421	6	cellular_component
GO:0000422	4	biological_process
GO:0000423	5	biological_process
GO:0000424	5	biological_process
GO:0000425	5	biological_process
GO:0000426	5	biological_process
GO:0000427	5	cellular_component
GO:0000428	4	cellular_component
GO:0000429	6	biological_process
GO:0000430	7	biological_process
GO:0000431	7	biological_process
GO:0000432	8	biological_process
GO:0000433	8	biological_process
GO:0000434	8	biological_process
GO:0000435	8	biological_process
GO:0000436	7	biological_process
GO:0000437	7	biological_process
GO:0000438	5	cellular_component
GO:0000439	4	cellular_component
GO:0000440	5	cellular_component
GO:0000444	2	cellular_component
GO:0000445	4	cellular_component
GO:0000446	4	cellular_component
GO:0000447	10	biological_process
GO:0000448	10	biological_process
GO:0000449	9	biological_process
GO:0000450	9	biological_process
GO:0000451	6	biological_process
GO:0000452	7	biological_process
GO:0000454	8	biological_process
GO:0000455	8	biological_process
GO:0000457	10	biological_process
GO:0000458	10	biological_process
GO:0000460	9	biological_process
GO:0000461	9	biological_process
GO:0000462	10	biological_process
GO:0000463	10	biological_process
GO:0000464	10	biological_process
GO:0000465	10	biological_process
GO:0000466	10	biological_process
GO:0000467	9	biological_process
GO:0000468	9	biological_process
GO:0000470	9	biological_process
GO:0000471	10	biological_process
GO:0000472	10	biological_process
GO:0000473	10	biological_process
GO:0000474	10	biological_process
GO:0000475	9	biological_process
GO:0000476	9	biological_process
GO:0000477	10	biological_process
GO:0000479	9	biological_process
GO:0000480	10	biological_process
GO:0000481	9	biological_process
GO:0000482	10	biological_process
GO:0000483	9	biological_process
